#PATH-POINTS-START Path
-96.785,-61.185,120,90
-94.785,-61.176,120
-92.785,-61.168,120
-90.785,-61.16,120
-88.785,-61.151,120
-86.785,-61.143,120
-84.785,-61.134,120
-82.785,-61.126,120
-80.785,-61.118,120
-78.785,-61.109,120
-76.785,-61.101,120
-74.785,-61.092,120
-72.785,-61.084,120
-70.785,-61.076,120
-68.785,-61.067,120
-66.785,-61.059,120
-64.785,-61.05,120
-62.785,-61.042,120
-60.785,-61.034,120
-58.785,-61.025,120
-56.785,-61.017,120
-54.785,-61.008,120
-52.785,-61,120
-50.785,-60.992,120
-48.785,-60.983,120
-46.785,-60.975,120
-44.785,-60.966,120
-42.785,-60.958,120
-40.785,-60.95,120
-38.785,-60.941,120
-36.785,-60.933,120
-34.785,-60.924,120
-32.785,-60.916,120
-30.785,-60.908,120
-28.785,-60.899,120
-26.785,-60.891,120
-24.785,-60.882,120
-22.785,-60.874,120
-20.785,-60.866,120
-18.785,-60.857,120
-16.785,-60.849,120
-14.785,-60.84,120
-12.785,-60.832,120
-10.785,-60.823,120
-8.785,-60.815,120
-6.785,-60.807,120
-4.786,-60.798,120
-2.786,-60.79,120
-0.786,-60.781,120
1.214,-60.773,120
3.214,-60.765,120
5.214,-60.756,120
7.214,-60.748,120
9.214,-60.739,120
11.214,-60.731,120
13.214,-60.723,120
15.214,-60.714,120
17.214,-60.706,120
19.214,-60.697,120
21.214,-60.689,120
23.214,-60.681,120
25.214,-60.672,120
27.214,-60.664,120
29.214,-60.655,120
31.214,-60.647,120
33.214,-60.639,120
35.214,-60.63,120
37.214,-60.622,120
39.214,-60.613,120
41.214,-60.605,120
43.214,-60.597,120
45.214,-60.588,120
47.214,-60.58,120
49.214,-60.571,120
51.214,-60.563,120
53.214,-60.555,120
55.214,-60.546,120
57.214,-60.538,120
59.214,-60.529,120
61.214,-60.521,120
63.214,-60.513,120
65.214,-60.504,120
67.214,-60.496,120
69.214,-60.487,120
71.214,-60.479,120
73.214,-60.471,120
75.214,-60.462,120
77.214,-60.454,120
79.214,-60.445,120
81.214,-60.437,120
83.214,-60.429,120
85.214,-60.42,120
87.214,-60.412,120
89.214,-60.403,120
91.214,-60.395,120,26.666665039062536
92.145,-59.421,120
91.951,-57.43,120
91.749,-55.44,120
91.518,-53.454,120
91.286,-51.467,120
91.018,-49.485,120
90.749,-47.504,120
90.45,-45.526,120
90.142,-43.55,120
89.812,-41.578,120
89.464,-39.608,120
89.1,-37.641,120
88.713,-35.679,120
88.313,-33.72,120
87.886,-31.766,120
87.449,-29.814,120
86.981,-27.87,120
86.505,-25.928,120
85.995,-23.993,120
85.478,-22.062,120
84.927,-20.139,120
84.367,-18.219,120
83.774,-16.309,120
83.17,-14.403,120
82.535,-12.506,120
81.883,-10.615,120
81.206,-8.734,120
80.506,-6.86,120
79.786,-4.994,120
79.037,-3.14,120
78.273,-1.292,120
77.472,0.541,120
76.663,2.37,120
75.811,4.18,120
74.948,5.983,120
74.052,7.772,120
73.133,9.548,120
72.193,11.313,120
71.217,13.059,120
70.227,14.796,120
69.199,16.512,120
68.15,18.214,120
67.077,19.903,120
65.968,21.567,120
64.841,23.219,120
63.681,24.848,120
62.493,26.457,120
61.286,28.051,120
60.038,29.615,120
58.769,31.16,120
57.478,32.687,120
56.145,34.179,120
54.792,35.651,120
53.416,37.103,120
52,38.515,120
50.562,39.904,120
49.102,41.271,120
47.604,42.596,120
46.082,43.893,120
44.537,45.163,120
42.962,46.396,120
41.357,47.589,120
39.73,48.752,120
38.081,49.883,120
36.397,50.963,120
34.692,52.007,120
32.965,53.016,120
31.217,53.987,120
29.438,54.902,120
27.641,55.779,120
25.824,56.615,120
23.989,57.409,120
22.128,58.143,120
20.251,58.833,120
18.358,59.478,120
16.45,60.077,120
14.526,60.62,120
12.586,61.107,120
10.635,61.546,120
8.674,61.936,120
6.703,62.277,120
4.722,62.552,120
